group_type,concept_name,stock_id,stock_name
概念,3DIC聯盟,1711,永光
概念,3DIC聯盟,1717,長興
概念,3DIC聯盟,2308,台達電
概念,3DIC聯盟,2330,台積電
概念,3DIC聯盟,2360,致茂
概念,3DIC聯盟,2395,研華
概念,3DIC聯盟,2467,志聖
概念,3DIC聯盟,3037,欣興
概念,3DIC聯盟,3131,弘塑
概念,3DIC聯盟,6515,穎崴
概念,3DIC聯盟,7734,印能科技
概念,3D列印,1409,新纖
概念,3D列印,1455,集盛
概念,3D列印,1504,東元
概念,3D列印,1597,直得
概念,3D列印,1717,長興
概念,3D列印,1785,光洋科
概念,3D列印,2049,上銀
概念,3D列印,2067,嘉鋼
概念,3D列印,2308,台達電
概念,3D列印,3570,大塚
概念,3D列印,3583,辛耘
概念,3D列印,6138,茂達
概念,3D列印,8081,致新
概念,3D感測,2317,鴻海
概念,3D感測,2330,台積電
概念,3D感測,2360,致茂
概念,3D感測,2455,全新
概念,3D感測,3008,大立光
概念,3D感測,3019,亞光
概念,3D感測,3059,華晶科
概念,3D感測,3105,穩懋
概念,3D感測,3406,玉晶光
概念,5G,2314,台揚
概念,5G,2317,鴻海
概念,5G,2332,友訊
概念,5G,2345,智邦
概念,5G,2353,宏碁
概念,5G,2356,英業達
概念,5G,2357,華碩
概念,5G,2395,研華
概念,5G,2412,中華電
概念,5G,2454,聯發科
概念,5G,2498,宏達電
概念,ADAS,1521,大億
概念,ADAS,1533,車王電
概念,ADAS,2228,劍麟
概念,ADAS,2329,華泰
概念,ADAS,2337,旺宏
概念,ADAS,2344,華邦電
概念,ADAS,2379,瑞昱
概念,ADAS,2401,凌陽
概念,ADAS,3036,文曄
概念,ADAS,4523,永彰
概念,ADAS,5289,宜鼎
概念,ADAS,6138,茂達
概念,AI PC,2330,台積電
概念,AI PC,2344,華邦電
概念,AI PC,2357,華碩
概念,AI PC,2408,南亞科
概念,AI PC,2454,聯發科
概念,AI PC,2458,義隆
概念,AI PC,3017,奇鋐
概念,AI PC,3711,日月光投控
概念,AI PC,4966,譜瑞-KY
概念,AI PC,5269,祥碩
概念,AI PC,6138,茂達
概念,AI人工智慧,2308,台達電
概念,AI人工智慧,2330,台積電
概念,AI人工智慧,2356,英業達
概念,AI人工智慧,2357,華碩
概念,AI人工智慧,2382,廣達
概念,AI人工智慧,2439,美律
概念,AI人工智慧,2454,聯發科
概念,AI人工智慧,3189,景碩
概念,AI人工智慧,3231,緯創
概念,AI人工智慧,3443,創意
概念,AI人工智慧,3661,世芯-KY
概念,AMD,2303,聯電
概念,AMD,2330,台積電
概念,AMD,2331,精英
概念,AMD,2353,宏碁
概念,AMD,2356,英業達
概念,AMD,2357,華碩
概念,AMD,2363,矽統
概念,AMD,2364,倫飛
概念,AMD,3533,嘉澤
概念,AMD,5269,祥碩
概念,AMD,6669,緯穎
概念,AR擴增實境,3105,穩懋
概念,AR擴增實境,3167,大量
概念,AR擴增實境,3227,原相
概念,AR擴增實境,3406,玉晶光
概念,AR擴增實境,4938,和碩
概念,AR擴增實境,5203,訊連
概念,AR擴增實境,5245,智晶
概念,AR擴增實境,5351,鈺創
概念,AR擴增實境,8086,宏捷科
概念,AR擴增實境,8450,霹靂
概念,ASIC,2388,威盛
概念,ASIC,2401,凌陽
概念,ASIC,2454,聯發科
概念,ASIC,3034,聯詠
概念,ASIC,3035,智原
概念,ASIC,3443,創意
概念,ASIC,3661,世芯-KY
概念,ASIC,6695,芯鼎
概念,ASIC,8054,安國
概念,AWS,2059,川湖
概念,AWS,2308,台達電
概念,AWS,2317,鴻海
概念,AWS,2330,台積電
概念,AWS,2345,智邦
概念,AWS,2356,英業達
概念,AWS,2368,金像電
概念,AWS,2382,廣達
概念,AWS,3661,世芯-KY
概念,AWS,6669,緯穎
概念,Apple蘋果,1582,信錦
概念,Apple蘋果,1904,正隆
概念,Apple蘋果,2301,光寶科
概念,Apple蘋果,2308,台達電
概念,Apple蘋果,2313,華通
概念,Apple蘋果,2317,鴻海
概念,Apple蘋果,2324,仁寶
概念,Apple蘋果,2327,國巨*
概念,Apple蘋果,2330,台積電
概念,Apple蘋果,2357,華碩
概念,Apple蘋果,2454,聯發科
概念,Apple蘋果,3008,大立光
概念,Apple蘋果,3406,玉晶光
概念,BBU,2301,光寶科
概念,BBU,2308,台達電
概念,BBU,2392,正崴
概念,BBU,2476,鉅祥
概念,BBU,3003,健和興
概念,BBU,3211,順達
概念,BBU,4931,新盛力
概念,BBU,5309,系統電
概念,BBU,6781,AES-KY
概念,ChatGPT,2330,台積電
概念,ChatGPT,2357,華碩
概念,ChatGPT,2376,技嘉
概念,ChatGPT,2382,廣達
概念,ChatGPT,2425,承啟
概念,ChatGPT,3029,零壹
概念,ChatGPT,3035,智原
概念,ChatGPT,3443,創意
概念,ChatGPT,3533,嘉澤
概念,ChatGPT,5269,祥碩
概念,ChatGPT,5274,信驊
概念,ChatGPT,6669,緯穎
概念,CoWoS,1560,中砂
概念,CoWoS,2316,楠梓電
概念,CoWoS,2330,台積電
概念,CoWoS,2449,京元電子
概念,CoWoS,3131,弘塑
概念,CoWoS,3374,精材
概念,CoWoS,3583,辛耘
概念,CoWoS,3680,家登
概念,CoWoS,3711,日月光投控
概念,CoWoS,6223,旺矽
概念,CoWoS,6515,穎崴
概念,GB,1815,富喬
概念,GB,2059,川湖
概念,GB,2301,光寶科
概念,GB,2308,台達電
概念,GB,2317,鴻海
概念,GB,2330,台積電
概念,GB,2354,鴻準
概念,GB,2383,台光電
概念,GB,2392,正崴
概念,GB,2421,建準
概念,GB,3017,奇鋐
概念,GB,3211,順達
概念,GB,3324,雙鴻
概念,GB,3533,嘉澤
概念,GB,3625,西勝
概念,GB,3665,貿聯-KY
概念,GB,4931,新盛力
概念,GB,5309,系統電
概念,GB,6121,新普
概念,GB,6669,緯穎
概念,GB,6781,AES-KY
概念,HPC,2317,鴻海
概念,HPC,2330,台積電
概念,HPC,3037,欣興
概念,HPC,3042,晶技
概念,HPC,3228,金麗科
概念,HPC,3443,創意
概念,HPC,3529,力旺
概念,HPC,3661,世芯-KY
概念,HPC,4966,譜瑞-KY
概念,HPC,5269,祥碩
概念,散熱模組,2354,鴻準
概念,散熱模組,2421,建準
概念,散熱模組,3017,奇鋐
概念,散熱模組,3324,雙鴻
概念,散熱模組,3338,泰碩
概念,散熱模組,3483,力致
概念,散熱模組,3653,健策
概念,散熱模組,6230,尼得科超眾
概念,散熱模組,6591,動力-KY
產業,EMS,2312,金寶
產業,EMS,2317,鴻海
產業,EMS,3701,大眾控
產業,EMS,3706,神達
產業,EMS,4938,和碩
產業,EMS,6669,緯穎
產業,EMS,7711,永擎
產業,EMS,7744,崴寶
產業,IC-半導體設備,2338,光罩
產業,IC-半導體設備,3178,公準
產業,IC-半導體設備,3413,京鼎
產業,IC-半導體設備,3583,辛耘
產業,IC-半導體設備,3680,家登
產業,IC-半導體設備,6532,瑞耘
產業,IC-半導體設備,6640,均華
產業,IC-半導體設備,6683,雍智科技
產業,IC-半導體設備,6725,矽科宏晟
產業,IC-半導體設備,7751,竑騰
產業,IC-半導體設備,7769,鴻勁
產業,IC-設計,2363,矽統
產業,IC-設計,2379,瑞昱
產業,IC-設計,2388,威盛
產業,IC-設計,2401,凌陽
產業,IC-設計,2436,偉詮電
產業,IC-設計,2454,聯發科
產業,IC-設計,2458,義隆
產業,IC-設計,3034,聯詠
產業,IC-設計,4966,譜瑞-KY
產業,IC-設計,5269,祥碩
產業,IC-設計,5274,信驊
產業,電子上游-IC-代工,1560,中砂
產業,電子上游-IC-代工,2303,聯電
產業,電子上游-IC-代工,2330,台積電
產業,電子上游-IC-代工,3105,穩懋
產業,電子上游-IC-代工,5299,杰力
產業,電子上游-IC-代工,5347,世界
產業,電子上游-IC-代工,6770,力積電
產業,電子上游-IC-代工,8086,宏捷科
產業,電子上游-PCB-製造,2313,華通
產業,電子上游-PCB-製造,2316,楠梓電
產業,電子上游-PCB-製造,2355,敬鵬
產業,電子上游-PCB-製造,2367,燿華
產業,電子上游-PCB-製造,2368,金像電
產業,電子上游-PCB-製造,3044,健鼎
產業,電子上游-PCB-製造,3115,富榮綱
產業,電子上游-PCB-製造,3229,晟鈦
產業,電子上游-PCB-製造,4958,臻鼎-KY
產業,電子上游-PCB-製造,5439,高技
產業,電子上游-PCB-材料設備,2383,台光電
產業,電子上游-PCB-材料設備,2467,志聖
產業,電子上游-PCB-材料設備,2493,揚博
產業,電子上游-PCB-材料設備,3455,由田
產業,電子上游-PCB-材料設備,4770,上品
產業,電子上游-PCB-材料設備,5340,建榮
產業,電子上游-PCB-材料設備,5381,合正
產業,電子上游-PCB-材料設備,5475,德宏
產業,電子上游-PCB-材料設備,5498,凱崴
產業,電子上游-PCB-材料設備,6192,巨路
產業,電子上游-PCB-材料設備,6274,台燿
產業,電子上游-PCB-材料設備,6664,群翊
產業,通訊設備,2314,台揚
產業,通訊設備,2321,東訊
產業,通訊設備,2419,仲琦
產業,通訊設備,2485,兆赫
產業,通訊設備,3025,星通
產業,通訊設備,3163,波若威
產業,通訊設備,3491,昇達科
產業,通訊設備,4905,台聯電
產業,通訊設備,4908,前鼎
產業,通訊設備,4979,華星光
產業,通訊設備,6152,百一
產業,通訊設備,6442,光聖
產業,汽車零組件,1319,東陽
產業,汽車零組件,1506,正道
產業,汽車零組件,1512,瑞利
產業,汽車零組件,1521,大億
產業,汽車零組件,1522,堤維西
產業,汽車零組件,1524,耿鼎
產業,汽車零組件,1525,江申
產業,汽車零組件,1536,和大
產業,汽車零組件,4523,永彰
產業,汽車零組件,4569,六方科-KY
產業,汽車零組件,5288,豐祥-KY
產業,汽車零組件,6279,胡連
產業,汽車零組件,6605,帝寶
產業,車用電子,1522,堤維西
產業,車用電子,1533,車王電
產業,車用電子,1612,宏泰
產業,車用電子,2115,六暉-KY
產業,車用電子,2231,為升
產業,車用電子,2301,光寶科
產業,車用電子,2308,台達電
產業,車用電子,2312,金寶
產業,車用電子,2357,華碩
產業,車用電子,2454,聯發科
產業,車用電子,3665,貿聯-KY
產業,車用電子,4523,永彰
產業,筆記型電腦,2353,宏碁
產業,筆記型電腦,2356,英業達
產業,筆記型電腦,2357,華碩
產業,筆記型電腦,2362,藍天
產業,筆記型電腦,2364,倫飛
產業,筆記型電腦,2382,廣達
產業,筆記型電腦,3005,神基
產業,筆記型電腦,3213,茂訊
產業,筆記型電腦,3231,緯創
產業,半導體檢測,6830,汎銓
概念,台積電大聯盟,6830,汎銓
概念,矽光子,6830,汎銓
產業,半導體封測,6451,訊芯-KY
概念,CPO矽光子,6451,訊芯-KY
概念,鴻海集團,6451,訊芯-KY
產業,汽車零組件,5243,乙盛-KY
概念,特斯拉,5243,乙盛-KY
概念,低軌衛星,5243,乙盛-KY
概念,鴻海集團,5243,乙盛-KY
產業,電子材料,3305,昇貿
概念,AI伺服器,3305,昇貿
概念,低軌衛星,3305,昇貿
概念,車用電子,5439,高技
概念,AI伺服器,5439,高技
產業,光通訊,3450,聯鈞
概念,CPO矽光子,3450,聯鈞
產業,光通訊,3081,聯亞
概念,CPO矽光子,3081,聯亞
產業,電子上游-PCB-材料設備,6213,聯茂
概念,AI伺服器,6213,聯茂
產業,電子上游-PCB-材料設備,6672,騰輝電子-KY
概念,車用電子,6672,騰輝電子-KY
產業,IC載板,8046,南電
概念,ABF載板,8046,南電


